"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","170983440593292805_1","2025-06-30","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582810"
"DELIVERED","171047909390733445_1","2025-06-30","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582718"
"DELIVERED","171068130609890624_1","2025-06-30","Karnataka"," Broom Mop Holder Wall Mount Stainless Steel Wall Mounted Storage Organizer Heavy Duty Tools Hanger","SteelGrip 5+4","Free Size","4","430.0","430.0","KP9YAJU02582958"
"RTO_LOCKED","171072768052923776_1","2025-06-30","Madhya Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582814"
"DELIVERED","171097154394885504_1","2025-06-30","Chhattisgarh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582719"
"DELIVERED","171125235172429952_1","2025-06-30","Andhra Pradesh","Stainless Steel Bathroom Wall Hook 6 Hooks Cloth Hanger Bathroom Wall Door Hook Magic Sticker Self Adhesive for Bathroom Towel Rail Kitchen Hanger Hooks Capacity-5 Kg, Silver","Stainless Steel Bathroom Wall Hook 6","Free Size","1","210.0","210.0","KP9YAJU02578985"
"DELIVERED","171140551327452546_1","2025-06-30","Delhi","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582820"
"CANCELLED","171143346744755520_1","2025-06-30","Uttarakhand","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0",
"DELIVERED","171147714579694912_1","2025-06-30","Delhi","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582815"
"DELIVERED","171172539184481600_1","2025-06-30","Kerala","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582809"
