"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","159640872613404352_1","2025-05-29","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503025"
"DELIVERED","159649840535013441_1","2025-05-29","Haryana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503208"
"DELIVERED","159653721809717313_1","2025-05-29","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503043"
"DELIVERED","159666755847922688_1","2025-05-29","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503037"
"RTO_LOCKED","159670600183941120_1","2025-05-29","West Bengal","Rice Drainer Stand | Rice Pot Drainer Stand | Drain Stand for Rice |random colour","meesho stand with mittens","Free Size","1","295.0","295.0",
"DELIVERED","159670854186797376_1","2025-05-29","Uttar Pradesh","soap Holder for Kitchen Sink soap Holder Stainless Steel Faucet Rack for Kitchen Sink Stand Sponge Holder for Kitchen Sink Dish soap Holder for Kitchen Sink Rack for Kitchen soap Holder Sink","small sink organizer#01","Free Size","1","310.0","310.0",
"DELIVERED","159671946173308736_1","2025-05-29","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503039"
"DELIVERED","159677823001921923_1","2025-05-29","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","2","298.0","298.0","KP9YAJU02503213"
"DELIVERED","159679053362716480_1","2025-05-29","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503212"
"CANCELLED","159679891921512064_1","2025-05-29","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","2","282.0","282.0",
"DELIVERED","159693567286675968_1","2025-05-29","Tamilnadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","282.0","282.0","KP9YAJU02503211"
"DELIVERED","159699219714745730_1","2025-05-29","Andhra Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503210"
"DELIVERED","159701752831092224_1","2025-05-29","Chhattisgarh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503209"
"DELIVERED","159704465497218944_1","2025-05-29","Maharashtra","soap Holder for Kitchen Sink soap Holder Stainless Steel Faucet Rack for Kitchen Sink Stand Sponge Holder for Kitchen Sink Dish soap Holder for Kitchen Sink Rack for Kitchen soap Holder Sink","small sink organizer#01","Free Size","1","319.0","319.0",
"DELIVERED","159714489485855296_1","2025-05-29","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","282.0","282.0","KP9YAJU02503034"
"DELIVERED","159714892796994946_1","2025-05-29","Assam","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503038"
"DELIVERED","159718547256871488_1","2025-05-29","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","282.0","282.0","KP9YAJU02503042"
"DELIVERED","159719678711768641_1","2025-05-29","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503017"
"DELIVERED","159722216907966976_1","2025-05-29","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503041"
"DELIVERED","159734929779941248_1","2025-05-30","Haryana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503334"
"RTO_LOCKED","159824607824651776_1","2025-05-30","Jharkhand","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503333"
"DELIVERED","159861231388272000_1","2025-05-30","Punjab","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","282.0","282.0","KP9YAJU02503340"
"RTO_COMPLETE","159872752642252672_1","2025-05-30","Uttar Pradesh","Cable Management Box - White | Wire Bin | Power Strip, Cords, Surge Protector Hiding Cover Organizer | Hide Loose Wire for Home Office Desk Desktop Floor & Keep Children and Pet Safe","Cable manager box","Free Size","1","268.0","268.0","KP9YAJU02503321"
