"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","141630791906357376_1","2025-04-10","Karnataka","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"RTO_COMPLETE","141744137896849536_1","2025-04-10","Kerala","Stainless Steel Rice Pot Drain Stand|Noodles Strainer|Cooked Rice Strainer Stand|Stand for Fruit,Beans Handsfree Rice Pot Drain Stand (Kitchen Drainer Stand) Green","Drainer Stand with Green mittens","Free Size","1","293.0","293.0",
"RTO_COMPLETE","141791177921420864_1","2025-04-10","Andhra Pradesh","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"DELIVERED","141823940041765440_1","2025-04-10","Madhya Pradesh","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","96.0","96.0",
"DELIVERED","141856771254421824_1","2025-04-10","Tamil Nadu","Homtheo Stainless Steel Hands-Free Rice Pot Drainer Stand | Kitchen Strainer for Rice, Beans, Noodles & Fruits | Multi-Purpose Cooked Rice Strainer Stand | Durable Tabletop Draining Rack","double rod stand with mittens","Free Size","1","290.0","290.0","TK9FBPS03040881"
"RTO_COMPLETE","141862724581137600_1","2025-04-10","Telangana","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"DELIVERED","141871997746879745_1","2025-04-10","Andhra Pradesh","Rice Pot Drainer Stand | Stainless Steel Stand for Fruit, Beans, Noodle Strainer | Cooked Rice Strainer Stand | Hands Free Rice Drainer Stand | Rice Dry Stand","Rice Pot Drain Stand#10","Free Size","1","258.0","258.0",
"RTO_COMPLETE","141918207938763584_1","2025-04-10","Assam","Homtheo Stainless Steel Hands-Free Rice Pot Drainer Stand | Kitchen Strainer for Rice, Beans, Noodles & Fruits | Multi-Purpose Cooked Rice Strainer Stand | Durable Tabletop Draining Rack","double rod stand with mittens","Free Size","1","290.0","290.0",
"DELIVERED","141929523470267907_1","2025-04-10","Delhi","Homtheo Stainless Steel Sink Organizer with Detachable Tray (30x9.5x9.5 CM/Chrome Finish) - Streamlined Elegance Perfect for Kitchen and Bathroom Bliss! Bath Organization","S organizer(BIG)","Free Size","1","384.0","384.0","TK9FBPS03040913"
"DELIVERED","141935468711938368_1","2025-04-10","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040914"
"DELIVERED","142099751507532998_1","2025-04-11","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040879"
"DELIVERED","142414101544825408_1","2025-04-12","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040912"
"DELIVERED","142519516555244104_1","2025-04-12","Puducherry","Homtheo|Rice Drainer Stand | Rice Pot Drainer Stand | Drain Stand for Rice | Stainless Steel Hands Free Rice Beans Noodle Pasta Drainer Strainer Stand|rice Dry stand","Homtheo RPS","Free Size","1","336.0","336.0","TK9FBPS03040869"
"CANCELLED","142546588094820992_1","2025-04-12","Tamil Nadu","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"DELIVERED","142618029675092864_1","2025-04-12","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","2","299.0","299.0","TK9FBPS03040910"
"DELIVERED","142626243589119168_1","2025-04-12","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","2","299.0","299.0","TK9FBPS03040911"
"DELIVERED","142669323877113024_1","2025-04-12","Telangana","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","96.0","96.0",
"DELIVERED","142672955365296448_1","2025-04-12","Karnataka","Stainless Steel Rice Pot Drain Stand|Noodles Strainer|Cooked Rice Strainer Stand|Hands Free Rice Drainer Stand|Stand for Fruit|Beans","Rps-new","Free Size","1","280.0","280.0","TK9FBPS03040870"
"DELIVERED","143045459904426560_1","2025-04-13","Tamilnadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040903"
"DELIVERED","143249654367804608_1","2025-04-14","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040904"
"DELIVERED","143346429422359232_1","2025-04-14","Punjab","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040906"
"DELIVERED","143360119392541312_1","2025-04-14","Tamil Nadu","Stainless Steel Rice Pot Drain Stand|Noodles Strainer|Cooked Rice Strainer Stand|Hands Free Rice Drainer Stand|Stand for Fruit,Beans","New Rice pot with pink gloves","Free Size","1","290.0","290.0",
"DELIVERED","143363937597557071_1","2025-04-14","Kerala","Hands free Rice Pot Drainer Stand | Premium quality Stainless Steel Stand for Fruit, Beans, Noodle Strainer | Cooked Rice strainer stand | Rice Drainer Stand|Rice Dry stand|","double rod with mittens","Free Size","1","336.0","336.0",
"DELIVERED","143420069375529681_1","2025-04-14","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040907"
"RTO_COMPLETE","143642778575461570_1","2025-04-15","Rajasthan","Sponge Holder For Kitchen Sink Caddy Organizer Countertops And Walls Soap Tray Dish Drainer With Detachable Dish Drainer Tray(Stainless Steel, Silver)","caddy organizer#03","Free Size","2","319.0","319.0",
"DELIVERED","143714992000463424_1","2025-04-15","Andhra Pradesh","Stainless Steel Rice Pot Drain Stand|Random colour|Cooked Rice Strainer Stand|Stand for Fruit,Beans Handsfree Rice Pot Drain Stand (Kitchen Drainer Stand) Green","Drainer Stand with Green mittens","Free Size","1","293.0","293.0",
"RTO_COMPLETE","143715096103328645_1","2025-04-15","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040861"
"DELIVERED","143751795198036288_1","2025-04-15","Karnataka","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","96.0","96.0",
"DELIVERED","143824458477097664_1","2025-04-16","Delhi","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040856"
"DELIVERED","143987069710666048_1","2025-04-16","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040854"
"DELIVERED","144002167476712001_1","2025-04-16","Gujarat","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040853"
"DELIVERED","144013542630726528_1","2025-04-16","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040908"
"DELIVERED","144030399093967168_1","2025-04-16","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040855"
"DELIVERED","144150346088422278_1","2025-04-17","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040841"
"DELIVERED","144325270354391616_1","2025-04-17","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","2","299.0","299.0","TK9FBPS03040842"
"CANCELLED","144346262187405888_1","2025-04-17","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0",
"DELIVERED","144407860364333760_1","2025-04-17","Odisha","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040838"
"DELIVERED","144411893187419328_1","2025-04-17","Himachal Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040837"
"DELIVERED","144431382412298560_1","2025-04-17","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040839"
"DELIVERED","144479048407839296_1","2025-04-17","Rajasthan","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040840"
"RTO_COMPLETE","144483722041094721_1","2025-04-17","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040834"
"DELIVERED","144646845381580800_1","2025-04-18","Punjab","CUBE Sink Organiser for Kitchen-Sink Caddy With Brush & Sponge Holder Cup- Sink Organizer with Drain Tray- Countertop Soap Holder for Kitchen Sink with Adhesive patch for wall mounting.","pop cube","Free Size","1","380.0","380.0",
"DELIVERED","144745545038665536_1","2025-04-18","Haryana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","2","299.0","299.0","TK9FBPS03040832"
"DELIVERED","144790763939141504_1","2025-04-18","Delhi","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040845"
"DELIVERED","144821979836946432_1","2025-04-18","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040850"
"DELIVERED","145067195948725892_1","2025-04-19","Tamil Nadu","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","96.0","96.0",
"DELIVERED","145105382815057411_1","2025-04-19","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040846"
"DELIVERED","145198691122169344_1","2025-04-19","Andhra Pradesh","Mikado Deluxe | 31 Wooden Pick-Up Sticks Game | Fun Family Indoor Game for All Ages | Perfect Return Gift with Storage Case and Multiple Game Modes","Mikado stick game","Free Size","1","99.0","99.0",
"DELIVERED","145203470031031424_1","2025-04-19","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040844"
"DELIVERED","145253883716847105_1","2025-04-20","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040810"
"DELIVERED","145451016280247424_1","2025-04-20","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040821"
"DELIVERED","145467945755100672_1","2025-04-20","Maharashtra","Kitchen Sink Caddy, Sponge Holder for Kitchen Sink,Kitchen Sink Organizer,Kitchen Sponge Holder,Dish Sponger Holder,Dish Soap Holder","ss caddy organizer","Free Size","1","319.0","319.0",
"CANCELLED","145483453619521024_1","2025-04-20","Andhra Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0",
"CANCELLED","145575391922915520_1","2025-04-20","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0",
